"IDSCENARIOS","IDYEARS","REGION_4LETTER","POPULATION","GDP_GUSD2017_PPP","CO2 Mt CO2/yr","CH4 kt/yr","PM25_TOTAL","PM25_SELF","PM25_EXPORT","AP_CONTROL_COSTS_MEUR2015","AP_PLUS_CH4_CONTROL_COSTS_MEUR2015"
"Delayed Action",2025,"RSAF",142401300,512.403,43231,357567.618,10.733,5.151,0.719,NA,NA
"Delayed Action",2025,"RUSS",145370500,4161.94,43231,357567.618,10.42,6.504,5.793,NA,NA
"Delayed Action",2025,"SAAR",39222900,1956.32,43231,357567.618,56.443,3.563,0.73,NA,NA
"Delayed Action",2025,"SAFR",60830700,831.469,43231,357567.618,12.959,9.375,0.729,NA,NA
"Delayed Action",2025,"SERB",7153500,152.122,43231,357567.618,17.926,11.324,7.531,NA,NA
"Delayed Action",2025,"SING",6109500,643.993,43231,357567.618,15.991,6.889,0.184,NA,NA
"Delayed Action",2025,"SKRE",5501900,189.842,43231,357567.618,9,2.638,1.491,NA,NA
"Delayed Action",2025,"SLOV",2114500,91.752,43231,357567.618,12.131,6.361,0.945,NA,NA
"Delayed Action",2025,"SPAI",47599000,2035.64,43231,357567.618,8.052,4.521,1.132,NA,NA
"Delayed Action",2025,"SRIL",22224200,273.455,43231,357567.618,11.346,8.238,0.013,NA,NA
"Delayed Action",2025,"SWED",10571100,596.541,43231,357567.618,3.77,1.031,0.447,NA,NA
"Delayed Action",2025,"SWIT",8848800,654.222,43231,357567.618,7.076,3.506,0.549,NA,NA
"Delayed Action",2025,"TAIW",NA,NA,43231,357567.618,18.723,16.356,0.048,NA,NA
"Delayed Action",2025,"TAJI",10416900,48.033,43231,357567.618,26.148,9.086,0.986,NA,NA
"Delayed Action",2025,"TANZ",70253800,209.587,43231,357567.618,10.059,6.148,0.456,NA,NA
"Delayed Action",2025,"THAI",72034100,1371.85,43231,357567.618,10.724,7.44,1.475,NA,NA
"Delayed Action",2025,"TKME",6714300,107.274,43231,357567.618,30.142,4.518,0.434,NA,NA
"Delayed Action",2025,"TURK",87083200,3122.89,43231,357567.618,18.111,13.156,7.365,NA,NA
"Delayed Action",2025,"UKRA",36386400,426.261,43231,357567.618,9.831,4.802,7.142,NA,NA
"Delayed Action",2025,"UNKI",67842400,3262.8,43231,357567.618,5.944,3.332,4.013,NA,NA
"Delayed Action",2025,"URUG",3410900,89.715,43231,357567.618,5.021,3.017,0.185,NA,NA
"Delayed Action",2025,"USAM",342011000,23076.2,43231,357567.618,7.903,5.01,1.671,NA,NA
"Delayed Action",2025,"UZBE",36056800,337.873,43231,357567.618,22.293,7.611,4.559,NA,NA
"Delayed Action",2025,"VENE",NA,NA,43231,357567.618,9.26,5.465,0.147,NA,NA
"Delayed Action",2025,"VIET",99806700,1325.58,43231,357567.618,16.929,13.726,3.225,NA,NA
"Delayed Action",2025,"WAFR",397473000,1182.728,43231,357567.618,31.397,7.505,0.352,NA,NA
"Integrated Action",2025,"AFGH",44165100,65.664,43231.15,357446.836,45.911,27.589,1.361,65,93
"Integrated Action",2025,"ALBA",2792900,48.827,43231.15,357446.836,16.756,9.973,0.492,245,259
"Integrated Action",2025,"ARGE",46046200,1025.84,43231.15,357446.836,5.377,2.71,0.306,1810,2334
"Integrated Action",2025,"ARME",2762000,52.434,43231.15,357446.836,18.548,11.071,0.452,31,33
"Integrated Action",2025,"AUST",9044800,514.16,43231.15,357446.836,7.803,3.19,2.305,2115,3010
"Integrated Action",2025,"AUTR",26566300,1443.22,43231.15,357446.836,3.95,2.138,0,6315,10391
"Integrated Action",2025,"AZER",10492200,164.983,43231.15,357446.836,18.335,4.562,1.208,440,-2565
"Integrated Action",2025,"BANG",175528000,1371.5,43231.15,357446.836,60.087,35.082,1.459,292,618
"Integrated Action",2025,"BELA",9393600,184.177,43231.15,357446.836,8.245,3.701,1.406,535,488
"Integrated Action",2025,"BELG",11693100,648.597,43231.15,357446.836,9.194,3.271,2.554,2678,3751
"Integrated Action",2025,"BHUT",797700,9.655,43231.15,357446.836,5.168,1.551,0.081,12,15
"Integrated Action",2025,"BOHE",3180800,58.941,43231.15,357446.836,20.6,15.447,7.53,658,721
"Integrated Action",2025,"BOLV",12619900,106.494,43231.15,357446.836,7.237,2.461,0.004,169,201
"Integrated Action",2025,"BRAZ",217562000,3480.58,43231.15,357446.836,9.129,6.078,1.32,12932,16278
"Integrated Action",2025,"BRUN",461300,27.824,43231.15,357446.836,3.819,2.106,0.004,50,46
"Integrated Action",2025,"BULG",6678000,187.916,43231.15,357446.836,12.135,6.493,2.081,1105,720
"Integrated Action",2025,"CAMB",17300400,90.688,43231.15,357446.836,10.069,4.308,0.167,172,229
"Integrated Action",2025,"CANA",38643500,1981.43,43231.15,357446.836,8.35,5.226,0.199,14235,7685
"Integrated Action",2025,"CARB",46078200,642.109,43231.15,357446.836,6.759,3.56,0.138,589,883
"Integrated Action",2025,"CEAM",53169900,650.978,43231.15,357446.836,9.17,6.639,0.022,928,1275
"Integrated Action",2025,"CHIL",19581000,527.728,43231.15,357446.836,13.144,12.981,0.14,1502,2215
"Integrated Action",2025,"CHIN",1433906500,29954.564,43231.15,357446.836,24.056,20.669,18.578,201344,227874
"Integrated Action",2025,"COLO",52418800,856.133,43231.15,357446.836,8.327,6.329,0.025,1711,1789
"Integrated Action",2025,"CROA",3980400,141.742,43231.15,357446.836,12.111,5.259,2.172,631,669
"Integrated Action",2025,"CYPR",1284600,42.901,43231.15,357446.836,10.537,0.911,0.003,137,215
"Integrated Action",2025,"CZRE",10850700,452.933,43231.15,357446.836,10.713,5.5,3.998,2711,3220
"Integrated Action",2025,"DENM",5903400,367.936,43231.15,357446.836,5.911,1.653,0.576,1304,1832
"Integrated Action",2025,"EAFR",317184800,785.992,43231.15,357446.836,26.039,7.496,0.634,1113,3158
"Integrated Action",2025,"ECUA",18413700,205.776,43231.15,357446.836,5.3,3.196,0.007,710,817
"Integrated Action",2025,"EGYP",116005300,1608.55,43231.15,357446.836,35.656,11.382,1.416,975,2558
"Integrated Action",2025,"ESTO",1347600,51.184,43231.15,357446.836,4.652,1.81,0.093,254,352
"Integrated Action",2025,"FINL",5536600,281.888,43231.15,357446.836,3.328,1.296,0.243,1587,252
"Integrated Action",2025,"FRAN",65109800,3207.38,43231.15,357446.836,7.623,4.528,8.147,11192,14138
"Integrated Action",2025,"GEOR",3622000,74.022,43231.15,357446.836,15.172,8.74,0.337,195,210
"Integrated Action",2025,"GERM",83602200,4595.24,43231.15,357446.836,7.264,3.738,14.341,15167,5138
"Integrated Action",2025,"GREE",10364500,355.738,43231.15,357446.836,11.062,4.411,1.057,1320,2789
"Integrated Action",2025,"HUNG",9592200,356.484,43231.15,357446.836,11.772,5.172,3.608,1490,1649
"Integrated Action",2025,"ICEL",376500,23.243,43231.15,357446.836,3.46,2.135,0.026,60,73
"Integrated Action",2025,"INDI",1445479600,11813.6,43231.15,357446.836,46.44,33.407,39.466,39411,59656
"Integrated Action",2025,"INDO",280692700,3967.11,43231.15,357446.836,19.822,19.223,2.018,9572,9950
"Integrated Action",2025,"IRAN",90692700,1473.82,43231.15,357446.836,56.443,21.599,2.037,4424,4446
"Integrated Action",2025,"IREL",5124500,597.738,43231.15,357446.836,3.758,1.3,0.265,1175,1874
"Integrated Action",2025,"ISRA",9371700,461.237,43231.15,357446.836,28.505,11.519,1.031,1682,1974
"Integrated Action",2025,"ITAL",58929300,2678.69,43231.15,357446.836,12.29,8.146,4.845,9985,14105
"Integrated Action",2025,"JAPA",122472800,5419.11,43231.15,357446.836,6.779,4.308,0.093,16872,31312
"Integrated Action",2025,"KAZA",19790300,582.083,43231.15,357446.836,43.099,33.473,3.912,1700,-11872
"Integrated Action",2025,"KENY",56832600,307.035,43231.15,357446.836,12.11,7.734,0.326,284,627
"Integrated Action",2025,"KORN",NA,NA,43231.15,357446.836,11.672,4.299,0.949,39,53
"Integrated Action",2025,"KORS",51500500,2490.03,43231.15,357446.836,20.157,10.818,0.694,7458,12924
"Integrated Action",2025,"KYRG",6897400,39.495,43231.15,357446.836,18.135,9.44,1.366,45,29
"Integrated Action",2025,"LAOS",7767700,65.644,43231.15,357446.836,8.541,1.569,0.286,129,141
"Integrated Action",2025,"LATV",1836300,64.826,43231.15,357446.836,7.023,3.467,0.259,272,279
"Integrated Action",2025,"LITH",2725200,118.114,43231.15,357446.836,6.805,2.466,0.567,694,-211
"Integrated Action",2025,"LUXE",655300,79.798,43231.15,357446.836,7.109,1.285,0.089,261,382
